X	Y	Z	Scalar_field	Scalar_field_2	Scalar_field_3	Scalar_field_4	Scalar_field_5	R	G	B
745472.22999954	5205943.44000244	1844.35998535	319.000000	855.000000	503.000000	2014.000000	3885.000000	62	79	47
745471.20999908	5205941.00000000	1843.90002441	634.000000	2044.000000	908.000000	4766.000000	7384.000000	120	205	103
745471.67000008	5205941.60000610	1844.78002930	773.000000	1522.000000	1026.000000	3214.000000	5049.000000	137	149	127
745470.45000076	5205942.32000732	1846.01000977	286.000000	728.000000	357.000000	1563.000000	2868.000000	41	65	41
745470.71999931	5205941.77999878	1845.79003906	648.000000	1251.000000	830.000000	2779.000000	4734.000000	109	121	105
745471.84000015	5205941.66999817	1845.11999512	525.000000	1206.000000	689.000000	2640.000000	4823.000000	89	116	83
745472.31999969	5205942.25999451	1844.13000488	428.000000	966.000000	757.000000	2119.000000	3534.000000	98	90	66
745470.29000092	5205942.80999756	1845.45996094	303.000000	758.000000	321.000000	1911.000000	4003.000000	36	68	44
745472.04999924	5205942.75999451	1844.79003906	342.000000	848.000000	339.000000	1720.000000	3437.000000	39	78	51
745472.79999924	5205942.28999329	1843.91003418	640.000000	1017.000000	1111.000000	2153.000000	3432.000000	149	96	104
745471.87999916	5205940.74000549	1843.86999512	396.000000	1295.000000	629.000000	3285.000000	5728.000000	80	125	61
745470.32999992	5205942.99000549	1844.66003418	361.000000	846.000000	523.000000	2164.000000	3810.000000	65	78	55
745472.37999916	5205941.50999451	1844.06005859	1278.000000	2065.000000	1958.000000	4077.000000	5737.000000	255	207	216
745472.20999908	5205942.00999451	1845.47998047	370.000000	908.000000	470.000000	2255.000000	4017.000000	57	84	56
745472.12999916	5205941.91999817	1844.81005859	395.000000	663.000000	563.000000	1518.000000	2850.000000	71	58	61
745473.01000023	5205943.46000671	1844.03002930	600.000000	1049.000000	1009.000000	2277.000000	3695.000000	134	99	97
745472.57999992	5205942.69000244	1844.06005859	400.000000	846.000000	676.000000	1865.000000	3399.000000	87	78	61
745472.21999931	5205942.55000305	1844.16003418	245.000000	536.000000	582.000000	1274.000000	2347.000000	73	45	34
745472.69000053	5205943.41999817	1844.14001465	762.000000	1173.000000	1039.000000	2192.000000	3367.000000	139	112	125
745471.72999954	5205944.00000000	1844.85998535	240.000000	703.000000	385.000000	1640.000000	3430.000000	45	63	33
745470.37000084	5205943.19999695	1846.76000977	369.000000	1028.000000	483.000000	2537.000000	4403.000000	59	97	56
745470.29999924	5205942.97000122	1846.34997559	273.000000	624.000000	318.000000	1726.000000	3600.000000	36	54	39
745471.90999985	5205943.71000671	1844.98999023	391.000000	883.000000	544.000000	1968.000000	3572.000000	68	82	60
745471.01000023	5205943.64999390	1845.76000977	222.000000	790.000000	288.000000	1905.000000	3657.000000	31	72	30
745470.36000061	5205943.27999878	1845.93994141	171.000000	482.000000	224.000000	1239.000000	2628.000000	22	39	21
745472.79000092	5205941.50999451	1843.89001465	941.000000	1609.000000	1527.000000	3377.000000	5006.000000	208	159	156
745470.38999939	5205942.77999878	1845.29003906	279.000000	777.000000	360.000000	1980.000000	4050.000000	42	70	40
745471.30999947	5205941.47999573	1845.92004395	636.000000	1512.000000	872.000000	3393.000000	5443.000000	115	148	103
745471.97999954	5205944.00999451	1844.68994141	286.000000	676.000000	431.000000	1540.000000	3053.000000	52	60	41
745471.15999985	5205941.25999451	1843.97998047	1043.000000	1915.000000	1792.000000	4013.000000	5890.000000	246	191	174
745472.00000000	5205943.16999817	1845.81005859	282.000000	885.000000	345.000000	2029.000000	4429.000000	40	82	41
745471.10000038	5205943.32000732	1846.81994629	276.000000	751.000000	332.000000	1832.000000	3642.000000	38	68	40
745471.29999924	5205941.36999512	1846.51000977	497.000000	1374.000000	667.000000	3232.000000	5299.000000	86	134	79
745471.27000046	5205943.41999817	1846.82995605	336.000000	867.000000	460.000000	1944.000000	3591.000000	56	80	50
745471.22999954	5205943.58999634	1845.91003418	241.000000	797.000000	326.000000	1968.000000	4101.000000	37	72	34
745471.63999939	5205943.77999878	1845.05004883	232.000000	609.000000	326.000000	1694.000000	3416.000000	37	53	32
745470.63999939	5205942.21000671	1844.95996094	241.000000	529.000000	412.000000	1228.000000	2369.000000	49	44	34
745470.15999985	5205943.02999878	1844.50000000	535.000000	1053.000000	921.000000	2402.000000	3897.000000	122	100	85
745472.04000092	5205942.75999451	1844.72998047	359.000000	865.000000	342.000000	1751.000000	3381.000000	39	80	54
745472.19000053	5205942.64999390	1843.94995117	259.000000	465.000000	557.000000	1110.000000	2090.000000	70	37	37
745472.95000076	5205942.22000122	1843.90002441	728.000000	1122.000000	1231.000000	2536.000000	3876.000000	166	107	119
745471.97999954	5205943.75999451	1844.82995605	316.000000	841.000000	470.000000	2045.000000	3950.000000	57	77	47
745472.54999924	5205941.50000000	1844.00000000	1307.000000	1747.000000	2038.000000	3244.000000	4479.000000	255	173	221
745470.95000076	5205941.36000061	1845.91003418	504.000000	1361.000000	702.000000	3291.000000	5356.000000	91	132	80
745471.11000061	5205941.52000427	1844.06994629	1022.000000	1689.000000	1944.000000	3524.000000	5031.000000	255	167	171
745470.67000008	5205943.58000183	1845.69995117	215.000000	652.000000	336.000000	1721.000000	3519.000000	38	57	29
745470.75000000	5205943.39999390	1846.56005859	346.000000	892.000000	407.000000	2096.000000	4003.000000	48	83	52
745470.51000023	5205941.91000366	1846.14001465	491.000000	880.000000	739.000000	2058.000000	3513.000000	96	81	77
745470.68000031	5205941.77999878	1846.01000977	568.000000	1470.000000	754.000000	3144.000000	4902.000000	98	144	91
745470.29999924	5205942.82000732	1846.60998535	291.000000	710.000000	358.000000	1783.000000	3555.000000	41	63	42
745470.31999969	5205942.83000183	1845.73999023	243.000000	611.000000	303.000000	1715.000000	3740.000000	34	53	34
745470.30999947	5205942.80000305	1844.80004883	218.000000	698.000000	292.000000	1685.000000	3702.000000	32	62	30
745470.77000046	5205941.82000732	1845.18994141	535.000000	1322.000000	784.000000	3079.000000	5065.000000	102	128	85
745471.44000053	5205943.50999451	1846.94995117	407.000000	1147.000000	585.000000	2552.000000	4710.000000	74	110	63
745470.84000015	5205941.46000671	1844.11999512	915.000000	1790.000000	1533.000000	3775.000000	5508.000000	209	178	152
745470.97999954	5205940.60000610	1844.14001465	502.000000	1358.000000	728.000000	3399.000000	5999.000000	94	132	79
745470.56999969	5205942.11000061	1845.66003418	425.000000	843.000000	799.000000	1933.000000	3285.000000	104	77	66
745470.69000053	5205942.08000183	1844.78002930	521.000000	1192.000000	832.000000	2805.000000	4387.000000	109	114	83
745470.48999977	5205942.33000183	1844.43005371	458.000000	1016.000000	829.000000	2211.000000	3578.000000	109	96	72
745470.70000076	5205943.60000610	1845.92004395	248.000000	716.000000	299.000000	1705.000000	3646.000000	33	64	35
745470.45999908	5205940.92999268	1844.01000977	762.000000	1799.000000	1283.000000	4153.000000	6406.000000	173	179	125
745471.60000038	5205941.16999817	1843.96997070	591.000000	1869.000000	838.000000	4511.000000	7515.000000	110	186	95
745470.31999969	5205942.85000610	1846.78002930	291.000000	638.000000	366.000000	1652.000000	3283.000000	43	56	42
745470.54999924	5205941.60000610	1844.18994141	544.000000	1238.000000	894.000000	2977.000000	4942.000000	118	119	87
745470.29999924	5205942.77000427	1845.89001465	287.000000	687.000000	362.000000	1877.000000	3843.000000	42	61	42
745470.37000084	5205942.74000549	1845.18005371	276.000000	757.000000	359.000000	1878.000000	3765.000000	42	68	40
745471.54999924	5205941.53999329	1844.17004395	510.000000	1462.000000	723.000000	3538.000000	5853.000000	93	143	81
745470.48999977	5205942.36999512	1845.30004883	258.000000	746.000000	351.000000	1759.000000	3069.000000	40	67	37
745470.82999992	5205941.50000000	1845.70996094	495.000000	1453.000000	742.000000	3268.000000	5515.000000	96	142	78
745470.92000008	5205941.64999390	1844.90002441	576.000000	1409.000000	863.000000	3264.000000	5276.000000	113	137	92
745471.32999992	5205941.11000061	1843.96997070	532.000000	1883.000000	760.000000	4457.000000	7352.000000	99	188	85
745471.29999924	5205941.36999512	1846.51000977	497.000000	1374.000000	667.000000	3232.000000	5299.000000	86	134	79
745470.64999962	5205942.03999329	1845.38000488	510.000000	1458.000000	769.000000	3267.000000	4885.000000	100	143	81
745471.26000023	5205941.41999817	1845.53002930	606.000000	1506.000000	856.000000	3400.000000	5323.000000	112	148	98
