X	Y	Z	Scalar_field	Scalar_field_2	Scalar_field_3	Scalar_field_4	Scalar_field_5	R	G	B
745527.37000084	5205917.52999878	1829.73999023	651.000000	1515.000000	785.000000	3694.000000	5870.000000	102	149	106
745528.43000031	5205918.05999756	1827.81005859	663.000000	2110.000000	999.000000	4845.000000	7901.000000	133	212	108
745527.59000015	5205916.80000305	1827.96997070	527.000000	2051.000000	637.000000	5048.000000	8593.000000	81	205	84
745526.54999924	5205918.30999756	1828.93994141	490.000000	1604.000000	617.000000	4054.000000	6635.000000	78	158	77
745528.12000084	5205917.51999664	1828.03002930	770.000000	2286.000000	920.000000	5411.000000	9112.000000	122	230	126
745527.51000023	5205919.36000061	1828.38000488	115.000000	362.000000	117.000000	820.000000	2196.000000	7	26	11
745527.18000031	5205917.27999878	1829.55004883	874.000000	1599.000000	1130.000000	3428.000000	5241.000000	152	158	145
745527.95999908	5205916.81999969	1827.91003418	719.000000	1998.000000	866.000000	4877.000000	8734.000000	114	200	117
745528.60000038	5205918.02999878	1827.85998535	629.000000	1577.000000	916.000000	3451.000000	6726.000000	121	155	102
745526.30999947	5205918.26999664	1829.27001953	408.000000	1538.000000	506.000000	3800.000000	6539.000000	63	151	63
745526.70999908	5205919.05999756	1828.52001953	266.000000	1054.000000	279.000000	2837.000000	5234.000000	30	100	38
745526.06999969	5205917.94999695	1830.01000977	527.000000	1976.000000	718.000000	4693.000000	7525.000000	93	197	84
745528.04999924	5205917.01000214	1827.93005371	568.000000	1824.000000	737.000000	4380.000000	7228.000000	95	181	91
745526.88999939	5205918.41000366	1828.68005371	599.000000	1179.000000	728.000000	2567.000000	4224.000000	94	113	96
745527.04000092	5205917.08000183	1829.80004883	727.000000	1703.000000	851.000000	3900.000000	6547.000000	112	169	119
745527.18000031	5205916.98000336	1828.81005859	596.000000	2100.000000	775.000000	5020.000000	8284.000000	101	211	96
745526.79000092	5205918.31999969	1828.82995605	662.000000	1418.000000	852.000000	2868.000000	4660.000000	112	138	107
745528.29000092	5205917.37999725	1827.91003418	640.000000	2196.000000	903.000000	5114.000000	7768.000000	119	221	104
745527.79999924	5205917.44000244	1828.46997070	725.000000	2297.000000	874.000000	5575.000000	9771.000000	115	232	119
745526.53000069	5205918.23999786	1829.09997559	426.000000	1534.000000	566.000000	3763.000000	6527.000000	71	151	66
745528.40999985	5205917.98000336	1829.28002930	1152.000000	1886.000000	1503.000000	3153.000000	4783.000000	205	188	194
745527.11000061	5205918.61000061	1828.75000000	211.000000	806.000000	240.000000	2070.000000	3770.000000	25	73	28
745527.11000061	5205916.97000122	1828.69995117	639.000000	1989.000000	747.000000	4978.000000	8228.000000	97	199	103
745527.07999992	5205917.08000183	1829.53002930	815.000000	1717.000000	1048.000000	3727.000000	6103.000000	140	170	134
745527.12000084	5205919.05000305	1828.46997070	231.000000	1103.000000	249.000000	2498.000000	4284.000000	26	105	32
745528.39999962	5205918.12999725	1827.81994629	631.000000	2143.000000	1072.000000	4754.000000	8305.000000	143	215	102
745527.05999947	5205916.79000092	1828.30004883	544.000000	1737.000000	624.000000	4475.000000	8855.000000	79	172	87
745527.31999969	5205917.16000366	1828.77001953	625.000000	2031.000000	887.000000	4982.000000	8280.000000	117	203	101
745526.95999908	5205916.86000061	1829.22998047	900.000000	2238.000000	965.000000	5259.000000	8326.000000	128	225	149
745526.54999924	5205918.16999817	1829.08996582	415.000000	1513.000000	563.000000	3696.000000	6516.000000	71	148	64
745528.37999916	5205917.83000183	1827.83996582	701.000000	2082.000000	944.000000	5013.000000	8187.000000	125	209	114
745528.40999985	5205917.98000336	1829.28002930	1152.000000	1886.000000	1503.000000	3153.000000	4783.000000	205	188	194
745527.76000023	5205917.55999756	1828.75000000	747.000000	2266.000000	975.000000	5257.000000	8343.000000	129	228	122
745526.75000000	5205918.23999786	1828.71997070	546.000000	1573.000000	685.000000	3538.000000	5841.000000	88	155	87
745527.01000023	5205918.40000153	1828.79003906	480.000000	677.000000	583.000000	1421.000000	2649.000000	74	60	76
745527.92000008	5205917.47000122	1828.25000000	866.000000	2017.000000	1101.000000	4447.000000	7741.000000	147	202	143
745526.67000008	5205918.58999634	1828.58996582	440.000000	1697.000000	578.000000	4199.000000	7051.000000	73	168	68
745528.44000053	5205917.33999634	1827.63000488	453.000000	1548.000000	576.000000	3609.000000	6071.000000	73	152	71
745528.55999947	5205917.45999908	1827.64001465	716.000000	1476.000000	1104.000000	3318.000000	5051.000000	148	144	117
745527.05999947	5205917.05999756	1829.25000000	1195.000000	1946.000000	1277.000000	3757.000000	6088.000000	172	194	201
745527.23999977	5205917.91999817	1833.88000488	628.000000	867.000000	818.000000	1594.000000	2509.000000	107	80	102
745526.79000092	5205917.37999725	1830.43994141	444.000000	1628.000000	606.000000	3985.000000	6415.000000	77	161	69
745527.87999916	5205917.61000061	1833.95996094	942.000000	1128.000000	1126.000000	1798.000000	2837.000000	151	108	157
745528.02000046	5205918.16999817	1835.00000000	1201.000000	1126.000000	1198.000000	1801.000000	2820.000000	161	107	202
745526.39999962	5205917.22000122	1830.26000977	861.000000	1691.000000	1061.000000	3769.000000	5866.000000	142	167	142
745526.40999985	5205918.80000305	1835.29003906	699.000000	1264.000000	771.000000	2699.000000	3985.000000	100	122	114
745526.95000076	5205918.13999939	1834.40002441	779.000000	943.000000	973.000000	1485.000000	2125.000000	129	88	128
745527.26000023	5205918.97000122	1834.92004395	452.000000	719.000000	520.000000	1511.000000	2912.000000	65	64	71
745527.06999969	5205918.08000183	1834.93994141	802.000000	1023.000000	891.000000	1767.000000	2924.000000	117	96	132
745527.46999931	5205918.91999817	1833.70996094	286.000000	454.000000	361.000000	908.000000	1879.000000	42	36	41
745526.70000076	5205917.95999908	1833.72998047	889.000000	979.000000	1020.000000	1494.000000	2314.000000	136	92	147
745527.38999939	5205917.13999939	1831.22998047	393.000000	614.000000	396.000000	1649.000000	2940.000000	47	53	60
745527.62000084	5205917.66999817	1835.21997070	784.000000	1248.000000	975.000000	2523.000000	4121.000000	129	120	129
745528.26000023	5205917.62000275	1831.88000488	886.000000	1385.000000	965.000000	2695.000000	4066.000000	128	135	147
745527.84000015	5205917.66000366	1834.89001465	697.000000	1481.000000	844.000000	3318.000000	5632.000000	111	145	114
745527.80999947	5205917.93000031	1835.41003418	884.000000	1172.000000	1059.000000	2018.000000	3080.000000	141	112	146
745527.10000038	5205917.93000031	1830.10998535	486.000000	1153.000000	708.000000	2760.000000	4703.000000	91	110	77
745527.69000053	5205917.44999695	1834.00000000	998.000000	1324.000000	1224.000000	2095.000000	3043.000000	165	128	166
